mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,395.2976488244122,0.7867425494039606
ArN2,model,0.1,1,395.54777388694345,0.9001252992968802
ArN2,model,0.1,1,395.79789894947476,1.0253290800751225
ArN2,model,0.1,1,396.048024012006,1.1628016136110677
ArN2,model,0.1,1,396.29814907453726,1.3128797032029682
ArN2,model,0.1,1,396.5482741370686,1.4757674902932238
ArN2,model,0.1,1,396.7983991995998,1.6515151006450075
ArN2,model,0.1,1,397.0485242621311,1.8399983084639102
ArN2,model,0.1,1,397.29864932466234,2.040899897567517
ArN2,model,0.1,1,397.5487743871936,2.25369342931644
ArN2,model,0.1,1,397.7988994497249,2.477630134011023
ArN2,model,0.1,1,398.04902451225615,2.711729622890133
ArN2,model,0.1,1,398.2991495747874,2.954775069697544
ArN2,model,0.1,1,398.54927463731866,3.205313433056968
ArN2,model,0.1,1,398.7993996998499,3.4616611839422213
ArN2,model,0.1,1,399.0495247623812,3.7219158680307194
ArN2,model,0.1,1,399.2996498249125,3.9839736738053495
ArN2,model,0.1,1,399.54977488744373,4.245552998433441
ArN2,model,0.1,1,399.799899949975,4.504223810497867
ArN2,model,0.1,1,400.05002501250624,4.757442408495879
ArN2,model,0.1,1,400.30015007503755,5.002590974393926
ArN2,model,0.1,1,400.5502751375688,5.237021130695723
ArN2,model,0.1,1,400.80040020010006,5.45810053584089
ArN2,model,0.1,1,401.0505252626313,5.66326140441827
ArN2,model,0.1,1,401.30065032516256,5.850049723081708
ArN2,model,0.1,1,401.5507753876939,6.0161738565102345
ArN2,model,0.1,1,401.80090045022513,6.159551205113345
ArN2,model,0.1,1,402.0510255127564,6.278351590518746
ArN2,model,0.1,1,402.30115057528764,6.371036107267071
ArN2,model,0.1,1,402.5512756378189,6.436390288534771
ArN2,model,0.1,1,402.8014007003502,6.473550586926901
ArN2,model,0.1,1,403.05152576288145,6.482023363215236
ArN2,model,0.1,1,403.3016508254127,6.461695799307076
ArN2,model,0.1,1,403.55177588794396,6.412838398172725
ArN2,model,0.1,1,403.8019009504752,6.336098993282785
ArN2,model,0.1,1,404.0520260130065,6.232488453008001
ArN2,model,0.1,1,404.3021510755378,6.103358520964942
ArN2,model,0.1,1,404.55227613806903,5.950372471355772
ArN2,model,0.1,1,404.80240120060034,5.775469469703032
ArN2,model,0.1,1,405.05252626313154,5.580823706051186
ArN2,model,0.1,1,405.30265132566285,5.368799503378603
ArN2,model,0.1,1,405.5527763881941,5.141903694243101
ArN2,model,0.1,1,405.80290145072536,4.902736601253246
ArN2,model,0.1,1,406.05302651325667,4.653942951664959
ArN2,model,0.1,1,406.3031515757879,4.398164005151576
ArN2,model,0.1,1,406.5532766383192,4.137992080428825
ArN2,model,0.1,1,406.80340170085043,3.875928536426418
ArN2,model,0.1,1,407.0535267633817,3.6143461038972085
ArN2,model,0.1,1,407.303651825913,3.355456281505012
ArN2,model,0.1,1,407.55377688844425,3.101282314805781
ArN2,model,0.1,1,407.8039019509755,2.853638075513009
ArN2,model,0.1,1,408.05402701350675,2.614112960102226
ArN2,model,0.1,1,408.304152076038,2.384062738576987
ArN2,model,0.1,1,408.5542771385693,2.1646061125603637
ArN2,model,0.1,1,408.8044022011006,1.9566265920587655
ArN2,model,0.1,1,409.0545272636318,1.7607791761963802
ArN2,model,0.1,1,409.3046523261631,1.577501227451331
ArN2,model,0.1,1,409.55477738869433,1.4070268625290208
ArN2,model,0.1,1,409.80490245122564,1.2494041457497442
ArN2,model,0.1,1,410.0550275137569,1.104514361261647
ArN2,model,0.1,1,410.30515257628815,0.9720926560591928
ArN2,model,0.1,1,410.5552776388194,0.8517493834359484
ArN2,model,0.1,1,410.80540270135066,0.7429915323002222
ArN2,model,0.1,1,411.05552776388197,0.6452436975841994
ArN2,model,0.1,1,411.3056528264132,0.5578681265243823
ArN2,model,0.1,1,411.5557778889445,0.4801834607334296
ArN2,model,0.1,1,411.80590295147573,0.4114818808527258
ArN2,model,0.1,1,412.056028014007,0.35104444571986704
ArN2,model,0.1,1,412.3061530765383,0.2981544984830765
ArN2,model,0.1,1,412.55627813906955,0.2521090856038461
ArN2,model,0.1,1,412.8064032016008,0.21222839948188876
ArN2,model,0.1,1,413.05652826413206,0.17786331038812428
ArN2,model,0.1,1,413.3066533266633,0.1484010979417172
ArN2,model,0.1,1,413.5567783891946,0.1232695264664531
ArN2,model,0.1,1,413.8069034517259,0.10193943259060909
ArN2,model,0.1,1,414.0570285142571,0.08392600814314459
ArN2,model,0.1,1,414.30715357678844,0.06878896773808495
ArN2,model,0.1,1,414.55727863931963,0.05613178959172363
ArN2,model,0.1,1,414.80740370185094,0.0456002113415108
ArN2,model,0.1,1,415.0575287643822,0.03688015120993481
ArN2,model,0.1,1,415.30765382691345,0.029695210021028914
