mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,275.33766883441723,2.8666122295947916,1.0,none
ArCF4,model,0.1,1.0,275.6378189094547,2.8322797464269946,1.0,none
ArCF4,model,0.1,1.0,275.9379689844923,2.79826346541697,1.0,none
ArCF4,model,0.1,1.0,276.23811905952977,2.764561567627782,1.0,none
ArCF4,model,0.1,1.0,276.53826913456726,2.7311721639362907,1.0,none
ArCF4,model,0.1,1.0,276.8384192096048,2.6980932981478536,1.0,none
ArCF4,model,0.1,1.0,277.13856928464236,2.665322950155209,1.0,none
ArCF4,model,0.1,1.0,277.43871935967985,2.632859039137659,1.0,none
ArCF4,model,0.1,1.0,277.73886943471734,2.6006994267966186,1.0,none
ArCF4,model,0.1,1.0,278.0390195097549,2.5688419206234547,1.0,none
ArCF4,model,0.1,1.0,278.3391695847924,2.5372842771954014,1.0,none
ArCF4,model,0.1,1.0,278.63931965982994,2.506024205495148,1.0,none
ArCF4,model,0.1,1.0,278.93946973486743,2.475059370249883,1.0,none
ArCF4,model,0.1,1.0,279.239619809905,2.4443873952850748,1.0,none
ArCF4,model,0.1,1.0,279.5397698849425,2.414005866888617,1.0,none
ArCF4,model,0.1,1.0,279.83991995997997,2.383912337180499,1.0,none
ArCF4,model,0.1,1.0,280.1400700350175,2.354104327483432,1.0,none
ArCF4,model,0.1,1.0,280.44022011005507,2.3245793316895993,1.0,none
ArCF4,model,0.1,1.0,280.74037018509256,2.295334819618697,1.0,none
ArCF4,model,0.1,1.0,281.04052026013005,2.266368240362446,1.0,none
ArCF4,model,0.1,1.0,281.3406703351676,2.2376770256107217,1.0,none
ArCF4,model,0.1,1.0,281.6408204102051,2.2092585929544075,1.0,none
ArCF4,model,0.1,1.0,281.94097048524264,2.1811103491600323,1.0,none
ArCF4,model,0.1,1.0,282.24112056028014,2.153229693411444,1.0,none
ArCF4,model,0.1,1.0,282.5412706353177,2.125614020513518,1.0,none
ArCF4,model,0.1,1.0,282.8414207103552,2.09826072405324,1.0,none
ArCF4,model,0.1,1.0,283.1415707853927,2.0711671995132375,1.0,none
ArCF4,model,0.1,1.0,283.4417208604302,2.0443308473331667,1.0,none
ArCF4,model,0.1,1.0,283.7418709354678,2.0177490759142627,1.0,none
ArCF4,model,0.1,1.0,284.04202101050527,1.9914193045624557,1.0,none
ArCF4,model,0.1,1.0,284.34217108554276,1.9653389663656142,1.0,none
ArCF4,model,0.1,1.0,284.6423211605803,1.9395055110005481,1.0,none
ArCF4,model,0.1,1.0,284.9424712356178,1.913916407465513,1.0,none
ArCF4,model,0.1,1.0,285.24262131065535,1.8885691467340162,1.0,none
ArCF4,model,0.1,1.0,285.54277138569284,1.863461244326056,1.0,none
ArCF4,model,0.1,1.0,285.8429214607304,1.8385902427928007,1.0,none
ArCF4,model,0.1,1.0,286.1430715357679,1.8139537141111557,1.0,none
ArCF4,model,0.1,1.0,286.4432216108054,1.7895492619845565,1.0,none
ArCF4,model,0.1,1.0,286.74337168584293,1.7653745240467513,1.0,none
ArCF4,model,0.1,1.0,287.0435217608805,1.7414271739653646,1.0,none
ArCF4,model,0.1,1.0,287.343671835918,1.7177049234422475,1.0,none
ArCF4,model,0.1,1.0,287.64382191095547,1.6942055241078808,1.0,none
ArCF4,model,0.1,1.0,287.943971985993,1.6709267693072867,1.0,none
ArCF4,model,0.1,1.0,288.2441220610305,1.6478664957750915,1.0,none
ArCF4,model,0.1,1.0,288.54427213606806,1.6250225851975872,1.0,none
ArCF4,model,0.1,1.0,288.84442221110555,1.6023929656600056,1.0,none
ArCF4,model,0.1,1.0,289.1445722861431,1.579975612977226,1.0,none
ArCF4,model,0.1,1.0,289.4447223611806,1.557768551906646,1.0,none
ArCF4,model,0.1,1.0,289.7448724362181,1.5357698572419058,1.0,none
ArCF4,model,0.1,1.0,290.04502251125564,1.51397765478667,1.0,none
ArCF4,model,0.1,1.0,290.3451725862932,1.4923901222077312,1.0,none
